ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best_of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
1,Brisbane,Brisbane International,2023-12-31,ATP250,Outdoor,Hard,1st Round,3,Popyrin A.,O Connell C.,40,68.0,1084,780.0,6.0,4.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed
1,Brisbane,Brisbane International,2023-12-31,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Van Assche L.,48,90.0,947,687.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Murray A.,14,42.0,2570,1050.0,4.0,6.0,7.0,5.0,6.0,2.0,,,,,2.0,1.0,Completed
1,Brisbane,Brisbane International,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Rune H.,Purcell M.,8,45.0,3660,1012.0,4.0,6.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Shang J.,Djere L.,183,33.0,335,1285.0,6.0,7.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Kotov P.,Borges N.,67,66.0,791,799.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Ruusuvuori E.,Bonzi B.,69,73.0,771,738.0,6.0,7.0,6.0,2.0,6.0,1.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Mochizuki S.,50,137.0,930,457.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Safiullin R.,Shelton B.,39,17.0,1122,2145.0,6.0,3.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Wolf J.J.,116,53.0,573,910.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Thiem D.,672,98.0,45,652.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Arnaldi M.,Fucsovics M.,44,59.0,1021,882.0,6.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Kubler J.,Karatsev A.,102,35.0,631,1193.0,6.0,4.0,6.0,7.0,,,,,,,1.0,1.0,Retired
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Vukic A.,55,62.0,902,835.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Machac T.,Etcheverry T.,78,30.0,722,1375.0,6.0,7.0,7.0,5.0,7.0,6.0,,,,,2.0,1.0,Completed
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Altmaier D.,Tu L.,56,225.0,891,280.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Klein L.,Baez S.,170,28.0,359,1435.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Hanfmann Y.,Korda S.,51,24.0,914,1530.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Daniel T.,54,75.0,905,737.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Broady L.,Cachin P.,108,70.0,608,763.0,6.0,4.0,6.0,0.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Kokkinakis T.,71,65.0,744,802.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Struff J.L.,Cilic M.,25,674.0,1522,45.0,3.0,6.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Marozsan F.,57,64.0,886,805.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Huesler M.A.,Sachko V.,194,169.0,312,360.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Fils A.,Gojo B.,36,72.0,1158,744.0,6.0,3.0,4.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Musetti L.,Wong C.,27,253.0,1470,238.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Ofner S.,Mcdonald M.,43,41.0,1048,1055.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Duckworth J.,Hanfmann Y.,116,51.0,573,914.0,4.0,6.0,6.0,1.0,7.0,6.0,,,,,2.0,1.0,Completed
1,Brisbane,Brisbane International,2024-01-03,ATP250,Outdoor,Hard,1st Round,3,Humbert U.,Michelsen A.,20,97.0,1765,653.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Shang J.,Van De Zandschulp B.,183,50.0,335,930.0,6.0,7.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Tiafoe F.,Kecmanovic M.,16,54.0,2310,905.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Ruusuvuori E.,Khachanov K.,69,15.0,771,2520.0,7.0,6.0,2.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Kotov P.,Musetti L.,67,27.0,791,1470.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Arnaldi M.,Klein L.,44,170.0,1021,359.0,6.0,4.0,3.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed
1,Brisbane,Brisbane International,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Safiullin R.,Popyrin A.,39,40.0,1122,1084.0,6.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed
1,Brisbane,Brisbane International,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Rune H.,Shevchenko A.,8,48.0,3660,947.0,6.0,4.0,5.0,7.0,6.0,2.0,,,,,2.0,1.0,Completed
1,Brisbane,Brisbane International,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Hijikata R.,Machac T.,71,78.0,744,722.0,5.0,7.0,6.0,2.0,7.0,6.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Fils A.,Huesler M.A.,36,194.0,1158,312.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Altmaier D.,14,56.0,2570,891.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Nadal R.,Kubler J.,672,102.0,45,631.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Ofner S.,Struff J.L.,43,25.0,1048,1522.0,6.0,7.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Broady L.,5,108.0,4805,608.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Humbert U.,55,20.0,902,1765.0,,,,,,,,,,,0.0,0.0,Walkover
2,Hong Kong,Hong Kong Tennis Open,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Cerundolo F.,57,21.0,886,1760.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Rune H.,Duckworth J.,8,116.0,3660,573.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Dimitrov G.,Hijikata R.,14,71.0,2570,744.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Thompson J.,Nadal R.,55,672.0,902,45.0,5.0,7.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Rublev A.,Fils A.,5,36.0,4805,1158.0,6.0,4.0,1.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Shang J.,Tiafoe F.,183,16.0,335,2310.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Ofner S.,Bautista Agut R.,43,57.0,1048,886.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Ruusuvuori E.,Kotov P.,69,67.0,771,791.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Safiullin R.,Arnaldi M.,39,44.0,1122,1021.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-06,ATP250,Outdoor,Hard,Semifinals,3,Rune H.,Safiullin R.,8,39.0,3660,1122.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-06,ATP250,Outdoor,Hard,Semifinals,3,Dimitrov G.,Thompson J.,14,55.0,2570,902.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-06,ATP250,Outdoor,Hard,Semifinals,3,Rublev A.,Shang J.,5,183.0,4805,335.0,4.0,6.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-06,ATP250,Outdoor,Hard,Semifinals,3,Ruusuvuori E.,Ofner S.,69,43.0,771,1048.0,4.0,6.0,7.0,5.0,6.0,3.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-07,ATP250,Outdoor,Hard,The Final,3,Rublev A.,Ruusuvuori E.,5,69.0,4805,771.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-07,ATP250,Outdoor,Hard,The Final,3,Dimitrov G.,Rune H.,14,8.0,2570,3660.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-07,ATP250,Outdoor,Hard,1st Round,3,Daniel T.,Vukic A.,74,63.0,739,835.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-07,ATP250,Outdoor,Hard,1st Round,3,Altmaier D.,Giron M.,57,60.0,906,860.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Carballes Baena R.,Bautista Agut R.,67,51.0,796,916.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Marozsan F.,Monfils G.,65,75.0,805,737.0,6.0,4.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Michelsen A.,66,92.0,799,659.0,0.0,6.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Muller A.,Bonzi B.,79,110.0,711,588.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Eubanks C.,59,34.0,865,1235.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Tabilo A.,Gojo B.,82,91.0,707,664.0,1.0,6.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Van Assche L.,Wolf J.J.,87,54.0,687,910.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Draper J.,Baez S.,62,26.0,836,1435.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Etcheverry T.,48,30.0,961,1375.0,7.0,6.0,4.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mcdonald M.,55,42.0,910,1055.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Kokkinakis T.,52,68.0,914,792.0,3.0,6.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Arnaldi M.,Zapata Miralles B.,41,77.0,1062,715.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Hijikata R.,40,70.0,1096,782.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Bublik A.,Mccabe J.,31,278.0,1369,207.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-09,ATP250,Outdoor,Hard,2nd Round,3,Altmaier D.,Auger-Aliassime F.,57,27.0,906,1425.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-09,ATP250,Outdoor,Hard,2nd Round,3,Muller A.,Cerundolo F.,79,22.0,711,1760.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Fils A.,Gasquet R.,35,76.0,1208,735.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Purcell M.,Pannu K.,45,716.0,1006,37.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Rinderknech A.,71,97.0,780,626.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Bolt A.,Seyboth Wild T.,325,78.0,159,714.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Diaz Acosta F.,47,93.0,982,655.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Sonego L.,Hanfmann Y.,46,49.0,990,929.0,7.0,5.0,2.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Lehecka J.,Walton A.,32,176.0,1337,348.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Ofner S.,Shapovalov D.,37,116.0,1132,560.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Fils A.,Borges N.,35,66.0,1208,799.0,6.0,2.0,6.0,0.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Daniel T.,Muller A.,74,79.0,739,711.0,6.0,4.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed
4,Auckland,ASB Classic,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Norrie C.,Van Assche L.,19,87.0,1810,687.0,6.0,3.0,6.0,7.0,6.0,1.0,,,,,2.0,1.0,Completed
4,Auckland,ASB Classic,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Tabilo A.,Van De Zandschulp B.,82,59.0,707,865.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Carballes Baena R.,Ofner S.,67,37.0,796,1132.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Shelton B.,Marozsan F.,16,65.0,2145,805.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Daniel T.,Purcell M.,74,45.0,739,1006.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Jarry N.,Arnaldi M.,18,41.0,1830,1062.0,6.0,7.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Draper J.,Kecmanovic M.,62,55.0,836,910.0,5.0,7.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Paul T.,Bolt A.,14,325.0,2665,159.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Korda S.,Sonego L.,29,46.0,1380,990.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Lehecka J.,Lajovic D.,32,52.0,1337,914.0,7.0,5.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Bublik A.,Evans D.,31,40.0,1369,1096.0,4.0,6.0,6.0,2.0,6.0,1.0,,,,,2.0,1.0,Completed
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Musetti L.,Thompson J.,25,47.0,1435,982.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,O Connell C.,Shevchenko A.,71,48.0,780,961.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-11,ATP250,Outdoor,Hard,Quarterfinals,3,Tabilo A.,Norrie C.,82,19.0,707,1810.0,,,,,,,,,,,,,Walkover
3,Adelaide,Adelaide International,2024-01-11,ATP250,Outdoor,Hard,Quarterfinals,3,Korda S.,O Connell C.,29,71.0,1380,780.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-11,ATP250,Outdoor,Hard,Quarterfinals,3,Lehecka J.,Jarry N.,32,18.0,1337,1830.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-11,ATP250,Outdoor,Hard,Quarterfinals,3,Bublik A.,Musetti L.,31,25.0,1369,1435.0,6.0,3.0,6.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed
3,Adelaide,Adelaide International,2024-01-11,ATP250,Outdoor,Hard,Quarterfinals,3,Draper J.,Paul T.,62,14.0,836,2665.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-11,ATP250,Outdoor,Hard,Quarterfinals,3,Shelton B.,Carballes Baena R.,16,67.0,2145,796.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-11,ATP250,Outdoor,Hard,Quarterfinals,3,Fils A.,Altmaier D.,35,57.0,1208,906.0,7.0,6.0,1.0,0.0,,,,,,,1.0,0.0,Retired
4,Auckland,ASB Classic,2024-01-12,ATP250,Outdoor,Hard,Semifinals,3,Daniel T.,Shelton B.,74,16.0,739,2145.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-12,ATP250,Outdoor,Hard,Semifinals,3,Tabilo A.,Fils A.,82,35.0,707,1208.0,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-12,ATP250,Outdoor,Hard,Semifinals,3,Draper J.,Bublik A.,62,31.0,836,1369.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-12,ATP250,Outdoor,Hard,Semifinals,3,Lehecka J.,Korda S.,32,29.0,1337,1380.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed
4,Auckland,ASB Classic,2024-01-13,ATP250,Outdoor,Hard,The Final,3,Tabilo A.,Daniel T.,82,74.0,707,739.0,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed
3,Adelaide,Adelaide International,2024-01-13,ATP250,Outdoor,Hard,The Final,3,Lehecka J.,Draper J.,32,62.0,1337,836.0,4.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,De Jong J.,Cachin P.,161,74.0,393,763.0,4.0,6.0,6.0,2.0,6.0,3.0,6.0,4.0,,,3.0,1.0,Completed
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Coric B.,17,40.0,2100,1100.0,6.0,3.0,7.0,6.0,2.0,6.0,6.0,3.0,,,3.0,1.0,Completed
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Halys Q.,Harris L.,110,167.0,575,371.0,4.0,6.0,7.0,6.0,7.0,5.0,7.0,6.0,,,3.0,1.0,Completed
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Galan D.E.,Kubler J.,87,113.0,676,561.0,2.0,6.0,6.0,3.0,7.0,6.0,4.0,6.0,7.0,6.0,3.0,2.0,Completed
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Diaz Acosta F.,12,90.0,2840,661.0,4.0,6.0,6.0,3.0,3.0,6.0,6.0,2.0,6.0,4.0,3.0,2.0,Completed
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Baez S.,Wolf J.J.,29,57.0,1435,900.0,3.0,6.0,6.0,2.0,6.0,3.0,3.0,0.0,,,2.0,1.0,Retired
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Garin C.,68,86.0,814,680.0,3.0,6.0,7.0,5.0,4.0,6.0,6.0,1.0,7.0,5.0,3.0,2.0,Completed
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Prizmic D.,1,187.0,11055,321.0,6.0,2.0,6.0,7.0,6.0,3.0,6.0,4.0,,,3.0,1.0,Completed
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Seyboth Wild T.,5,77.0,5010,718.0,7.0,5.0,6.0,4.0,3.0,6.0,4.0,6.0,7.0,6.0,3.0,2.0,Completed
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Munar J.,Shevchenko A.,82,48.0,706,975.0,6.0,3.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,Completed
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Arnaldi M.,Walton A.,41,174.0,1077,354.0,7.0,6.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Sinner J.,Van De Zandschulp B.,4,59.0,6490,890.0,6.0,4.0,7.0,5.0,6.0,3.0,,,,,3.0,0.0,Completed
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Machac T.,Mochizuki S.,75,136.0,748,457.0,7.0,5.0,6.0,1.0,7.0,5.0,,,,,3.0,0.0,Completed
